x,y,z,cosx,cosy,cosz,element,stage,raynum
-0.224,-0.116,-0.00696,1e-16,0e+00,-1,32,1,1
0.0641,0.0253,1.5,0.187,0.0916,0.978,-2,1,1
-0.204,0.152,0.00343,1e-16,-7e-18,-1,47,1,2
-0.0609,0.00394,1.5,0.0951,-0.098,0.991,-2,1,2
0.133,-0.43,6e-05,1e-16,0e+00,-1,21,1,3
-0.0182,0.00702,1.5,-0.096,0.278,0.956,-2,1,3
0.0375,0.111,-0.00148,1e-16,0e+00,-1,48,1,4
0.0353,-0.0329,1.5,-0.00148,-0.0952,0.995,-2,1,4
0.228,-0.108,-0.0069,1e-16,0e+00,-1,36,1,5
-0.0626,0.0339,1.5,-0.189,0.0919,0.978,-2,1,5
0.194,0.633,0.0147,1e-16,0e+00,-1,70,1,6
0.0525,0.0481,1.5,-0.0885,-0.365,0.927,-2,1,6
-0.0122,0.663,-0.0111,1e-16,0e+00,-1,76,1,7
-0.145,-0.716,0.00149,1e-16,-3e-17,-1,5,1,8
0.00498,0.0294,1.5,0.0892,0.443,0.892,-2,1,8
0.322,-0.334,0.00832,1e-16,1e-17,-1,29,1,9
0.0338,-0.049,1.5,-0.187,0.184,0.965,-2,1,9
-0.441,0.251,-0.000978,1e-16,0e+00,-1,52,1,10
-0.00193,-0.0402,1.5,0.276,-0.183,0.944,-2,1,10
0.158,0.528,-0.00684,1e-16,0e+00,-1,70,1,11
0.0165,-0.0652,1.5,-0.0871,-0.365,0.927,-2,1,11
0.0996,-0.501,-0.0146,1e-16,0e+00,-1,14,1,12
0.0974,-0.493,0.00734,-0.0915,0.365,0.926,21,1,12
0.441,-0.0236,0.00218,1e-16,0e+00,-1,44,1,13
0.00857,-0.0236,1.5,-0.278,2e-05,0.961,-2,1,13
0.222,-0.382,-0.0121,1e-16,0e+00,-1,22,1,14
-0.0672,0.061,1.5,-0.181,0.276,0.944,-2,1,14
-0.442,-0.317,0.00534,1e-16,0e+00,-1,24,1,15
-0.00141,-0.0212,1.5,0.278,0.187,0.942,-2,1,15
0.41,-0.00615,-0.00222,1e-16,0e+00,-1,44,1,16
-0.0227,-0.00807,1.5,-0.277,-0.00123,0.961,-2,1,16
0.134,-0.259,-0.00276,1e-16,0e+00,-1,28,1,17
-0.0106,0.0292,1.5,-0.094,0.187,0.978,-2,1,17
0.42,0.156,-0.00013,1e-16,0e+00,-1,51,1,18
-0.0179,0.00905,1.5,-0.279,-0.0938,0.956,-2,1,18
-0.0789,-0.287,-0.00269,1e-16,0e+00,-1,26,1,19
0.0666,0.00175,1.5,0.0947,0.188,0.978,-2,1,19
0.112,0.547,-0.0054,1e-16,0e+00,-1,70,1,20
-0.0413,-0.0504,1.5,-0.0941,-0.367,0.925,-2,1,20
-0.209,-0.0654,0.00319,1e-16,0e+00,-1,40,1,21
-0.0619,-0.0668,1.5,0.098,-0.000925,0.995,-2,1,21
-0.135,0.756,0.0106,1e-16,3e-17,-1,75,1,22
0.00896,0.00325,1.5,0.0858,-0.45,0.889,-2,1,22
-0.408,0.371,-0.0103,8e-17,-3e-17,-1,59,1,23
0.0449,-0.0777,1.5,0.277,-0.274,0.921,-2,1,23
0.157,0.666,-0.0098,1e-16,3e-17,-1,77,1,24
0.00321,-0.0911,1.5,-0.0905,-0.446,0.89,-2,1,24
0.0883,0.439,-0.000699,1e-16,0e+00,-1,63,1,25
-0.0571,0.00296,1.5,-0.0927,-0.278,0.956,-2,1,25
-0.0551,0.00803,1.501,1e-16,0e+00,-1,1,1,26
0.0834,0.597,0.0027,1e-16,0e+00,-1,70,1,27
-0.0569,0.00559,1.5,-0.0868,-0.366,0.927,-2,1,27
0.402,0.208,-0.000274,1e-16,0e+00,-1,51,1,28
-0.0344,0.057,1.5,-0.278,-0.0961,0.956,-2,1,28
0.454,0.039,0.00395,1e-16,0e+00,-1,44,1,29
0.0205,0.0374,1.5,-0.278,-0.00104,0.961,-2,1,29
-0.447,-0.274,0.00197,1e-16,0e+00,-1,24,1,30
-0.0127,0.023,1.5,0.273,0.187,0.944,-2,1,30
0.465,-0.185,0.00749,1e-16,0e+00,-1,37,1,31
0.0257,-0.0394,1.5,-0.281,0.093,0.955,-2,1,31
0.421,-0.653,-0.0141,1e-16,0e+00,-1,9,1,32
0.11,-0.0495,-0.00151,1e-16,0e+00,-1,42,1,33
-0.0323,-0.045,1.5,-0.0945,0.00299,0.996,-2,1,33
-0.427,0.742,0.00769,8e-17,0e+00,-1,73,1,34
0.0323,-0.0197,1.5,0.265,-0.438,0.859,-2,1,34
-0.0211,-0.721,0.00252,1e-16,0e+00,-1,6,1,35
-0.0201,0.0351,1.5,0.000591,0.451,0.893,-2,1,35
-0.289,0.455,0.00455,1e-16,0e+00,-1,60,1,36
0.00471,0.0233,1.5,0.185,-0.273,0.944,-2,1,36
0.274,0.419,-0.00199,1e-16,0e+00,-1,64,1,37
-0.013,-0.0179,1.5,-0.18,-0.275,0.944,-2,1,37
0.493,-0.724,0.0128,1e-16,0e+00,-1,9,1,38
0.0283,0.0356,1.5,-0.268,0.438,0.858,-2,1,38
0.202,0.571,0.00341,1e-16,0e+00,-1,70,1,39
0.0591,-0.012,1.5,-0.0886,-0.362,0.928,-2,1,39
0.225,0.456,-0.00125,1e-16,0e+00,-1,64,1,40
-0.071,0.0132,1.5,-0.186,-0.278,0.942,-2,1,40
-0.135,-0.456,0.00389,1e-16,0e+00,-1,19,1,41
0.00429,-0.0206,1.5,0.0893,0.278,0.956,-2,1,41
-0.161,-0.027,0.000905,1e-16,0e+00,-1,40,1,42
-0.0135,-0.0263,1.5,0.098,0.000496,0.995,-2,1,42
-0.359,0.679,-0.0168,8e-17,0e+00,-1,73,1,43
-0.354,0.672,-0.00238,0.264,-0.436,0.86,74,1,43
0.144,-0.552,-0.00294,1e-16,0e+00,-1,14,1,44
-0.00879,0.0351,1.5,-0.0942,0.362,0.927,-2,1,44
-0.106,0.232,-0.00662,1e-16,0e+00,-1,54,1,45
0.0394,-0.0499,1.5,0.0943,-0.183,0.979,-2,1,45
-0.375,-0.0623,-0.00726,8e-17,0e+00,-1,38,1,46
0.0602,-0.0678,1.5,0.277,-0.00353,0.961,-2,1,46
0.0816,0.534,-0.00927,1e-16,0e+00,-1,70,1,47
-0.0621,-0.0605,1.5,-0.0883,-0.365,0.927,-2,1,47
0.434,0.391,-0.00383,1e-16,-3e-17,-1,65,1,48
-0.0125,-0.0545,1.5,-0.274,-0.273,0.922,-2,1,48
-0.136,0.267,-0.00193,1e-16,0e+00,-1,54,1,49
0.0107,-0.0215,1.5,0.0954,-0.188,0.978,-2,1,49
0.251,-0.266,-0.00489,1e-16,1e-17,-1,29,1,50
-0.0358,0.0234,1.5,-0.184,0.185,0.965,-2,1,50
0.0582,-0.257,-0.00259,1e-16,0e+00,-1,27,1,51
0.0564,0.0352,1.5,-0.00116,0.191,0.982,-2,1,51
-0.117,0.55,-0.00456,1e-16,0e+00,-1,68,1,52
0.0244,-0.042,1.5,0.0872,-0.365,0.927,-2,1,52
0.495,-0.0935,0.00757,1e-16,0e+00,-1,37,1,53
0.0591,0.0553,1.5,-0.279,0.0953,0.955,-2,1,53
0.402,0.746,0.00505,1e-16,0e+00,-1,79,1,54
-0.0531,-0.0223,1.5,-0.261,-0.441,0.859,-2,1,54
-0.0305,-0.0768,1.501,1e-16,0e+00,-1,1,1,55
-0.276,-0.11,-0.00225,1e-16,0e+00,-1,32,1,56
0.0102,0.0284,1.5,0.187,0.0899,0.978,-2,1,56
-0.483,-0.774,0.0232,8e-17,0e+00,-1,3,1,57
-0.0261,-0.0194,1.5,0.266,0.439,0.859,-2,1,57
0.265,0.353,0.00475,1e-16,-1e-17,-1,57,1,58
-0.0225,0.0583,1.5,-0.186,-0.19,0.964,-2,1,58
-0.113,0.489,0.00758,1e-16,0e+00,-1,61,1,59
0.0322,0.0574,1.5,0.0928,-0.277,0.956,-2,1,59
0.477,-0.482,0.0152,1e-16,3e-17,-1,23,1,60
0.0405,-0.0374,1.5,-0.271,0.276,0.922,-2,1,60
-0.394,-0.146,-0.00431,8e-17,0e+00,-1,31,1,61
0.0363,-0.000729,1.5,0.274,0.0921,0.957,-2,1,61
0.324,0.735,0.00969,1e-16,0e+00,-1,78,1,62
0.0276,-0.0233,1.5,-0.174,-0.447,0.878,-2,1,62
0.264,-0.273,-0.00297,1e-16,1e-17,-1,29,1,63
-0.0199,0.0191,1.5,-0.182,0.188,0.965,-2,1,63
-0.419,-0.383,-0.00716,8e-17,3e-17,-1,17,1,64
0.0205,0.0597,1.5,0.269,0.271,0.924,-2,1,64
0.0829,0.0344,1.501,1e-16,0e+00,-1,1,1,65
0.06,-0.0893,1.501,1e-16,0e+00,-1,1,1,66
0.358,0.00328,-0.00971,1e-16,0e+00,-1,44,1,67
